OBJECTID,ClosestID,FileName,POINT_X,POINT_Y
9461,17651,sg_017651.soil,11.291666667000072,4.291666667000072
9462,17652,sg_017652.soil,11.208333333000041,4.208333333000041
9463,17653,sg_017653.soil,11.541666667000072,4.041666667000072
9464,17654,sg_017654.soil,11.375000000000057,3.958333333000041
9465,17655,sg_017655.soil,11.708333333000041,4.208333333000041
9466,17656,sg_017656.soil,11.791666667000072,4.125000000000057
9467,17657,sg_017657.soil,11.541666667000072,3.791666667000072
9468,17658,sg_017658.soil,11.625000000000057,3.958333333000041
9469,17659,sg_017659.soil,11.541666667000072,3.958333333000041
9470,17660,sg_017660.soil,11.576464207000072,3.875107557000035
9471,17661,sg_017661.soil,11.466414100000065,3.863878616000022
9472,17662,sg_017662.soil,11.125000000000057,3.958333333000041
9473,17663,sg_017663.soil,10.708333333000041,3.958333333000041
9474,17664,sg_017664.soil,12.291666667000072,3.958333333000041
9475,17665,sg_017665.soil,12.208333333000041,3.791666667000072
9476,17666,sg_017666.soil,12.708333333000041,4.041666667000072
9477,17668,sg_017668.soil,13.208333333000041,3.958333333000041
9478,17669,sg_017669.soil,12.708333333000041,3.958333333000041
9479,17670,sg_017670.soil,12.958333333000041,4.125000000000057
9480,17673,sg_017673.soil,9.625000000000057,4.208333333000041
9481,17674,sg_017674.soil,9.875000000000057,4.041666667000072
9482,17675,sg_017675.soil,9.875000000000057,3.708333333000041
9483,17676,sg_017676.soil,9.625000000000057,3.791666667000072
9484,17677,sg_017677.soil,10.291666667000072,3.958333333000041
9485,17678,sg_017678.soil,10.708333333000041,4.125000000000057
9486,17679,sg_017679.soil,10.279768757000056,3.881844922000028
9487,17680,sg_017680.soil,10.958333333000041,4.291666667000072
9488,17681,sg_017681.soil,10.541666667000072,3.875000000000057
9489,17682,sg_017682.soil,9.708333333000041,3.958333333000041
9490,17683,sg_017683.soil,9.791666667000072,4.041666667000072
9491,17685,sg_017685.soil,9.791666667000072,4.125000000000057
9492,17697,sg_017697.soil,11.625000000000057,3.708333333000041
9493,17698,sg_017698.soil,11.291666667000072,3.458333333000041
9494,17699,sg_017699.soil,11.458333333000041,3.791666667000072
9495,17700,sg_017700.soil,10.708333333000041,3.791666667000072
9496,17701,sg_017701.soil,10.791666667000072,3.625000000000057
9497,17702,sg_017702.soil,11.208333333000041,3.541666667000072
9498,17703,sg_017703.soil,10.708333333000041,3.625000000000057
9499,17704,sg_017704.soil,11.958333333000041,3.458333333000041
9500,17705,sg_017705.soil,11.625000000000057,3.541666667000072
9501,17707,sg_017707.soil,13.625000000000057,3.125000000000057
9502,17708,sg_017708.soil,10.133449731000042,3.785276028000055
9503,17709,sg_017709.soil,10.041666667000072,3.708333333000041
9504,17710,sg_017710.soil,9.958333333000041,2.875000000000057
9505,17711,sg_017711.soil,10.791666667000072,3.458333333000041
9506,17720,sg_017720.soil,11.291666667000072,3.291666667000072
9507,17721,sg_017721.soil,11.208333333000041,3.208333333000041
9508,17722,sg_017722.soil,12.375000000000057,2.291666667000072
9509,17723,sg_017723.soil,12.458333333000041,2.958333333000041
